ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
273,1421,179,0,0.888,0.112,0.000
274,1423,177,0,0.889,0.111,0.000
275,1581,19,0,0.988,0.012,0.000
276,1477,123,0,0.923,0.077,0.000
277,1397,203,0,0.873,0.127,0.000
278,1490,110,0,0.931,0.069,0.000
279,1128,472,0,0.705,0.295,0.000
280,671,929,0,0.419,0.581,0.000
281,791,809,0,0.494,0.506,0.000
282,1419,181,0,0.887,0.113,0.000
283,1213,387,0,0.758,0.242,0.000
284,931,669,0,0.582,0.418,0.000
285,1213,387,0,0.758,0.242,0.000
286,1486,114,0,0.929,0.071,0.000
287,1600,0,0,1.000,0.000,0.000
288,1003,597,0,0.627,0.373,0.000
289,1480,120,0,0.925,0.075,0.000
290,1426,174,0,0.891,0.109,0.000
291,1220,380,0,0.762,0.237,0.000
292,1468,132,0,0.917,0.083,0.000
293,1254,346,0,0.784,0.216,0.000
294,896,704,0,0.560,0.440,0.000
295,892,708,0,0.557,0.443,0.000
296,1331,269,0,0.832,0.168,0.000
297,1297,303,0,0.811,0.189,0.000
298,1057,543,0,0.661,0.339,0.000
299,1516,84,0,0.948,0.052,0.000
300,1361,239,0,0.851,0.149,0.000
301,1522,78,0,0.951,0.049,0.000
302,1172,428,0,0.733,0.268,0.000
303,1182,418,0,0.739,0.261,0.000
304,1257,343,0,0.786,0.214,0.000
305,1158,442,0,0.724,0.276,0.000
306,1170,430,0,0.731,0.269,0.000
307,1062,538,0,0.664,0.336,0.000
308,1219,381,0,0.762,0.238,0.000
309,436,1164,0,0.273,0.728,0.000
310,1226,374,0,0.766,0.234,0.000
311,1279,321,0,0.799,0.201,0.000
312,1319,281,0,0.824,0.176,0.000
313,1313,287,0,0.821,0.179,0.000
314,1565,35,0,0.978,0.022,0.000
315,1294,306,0,0.809,0.191,0.000
316,1252,348,0,0.782,0.217,0.000
317,1263,337,0,0.789,0.211,0.000
318,1293,307,0,0.808,0.192,0.000
319,950,650,0,0.594,0.406,0.000
320,1365,235,0,0.853,0.147,0.000
321,1142,458,0,0.714,0.286,0.000
322,1307,293,0,0.817,0.183,0.000
323,1560,40,0,0.975,0.025,0.000
324,1551,49,0,0.969,0.031,0.000
325,1525,75,0,0.953,0.047,0.000
326,1371,229,0,0.857,0.143,0.000
327,1017,583,0,0.636,0.364,0.000
328,1411,189,0,0.882,0.118,0.000
329,1356,244,0,0.848,0.152,0.000
330,1259,341,0,0.787,0.213,0.000
331,1361,239,0,0.851,0.149,0.000
332,1568,32,0,0.980,0.020,0.000
333,1430,170,0,0.894,0.106,0.000
334,1600,0,0,1.000,0.000,0.000
335,1103,497,0,0.689,0.311,0.000
336,867,733,0,0.542,0.458,0.000
337,554,1046,0,0.346,0.654,0.000
338,1547,53,0,0.967,0.033,0.000
339,1443,157,0,0.902,0.098,0.000
340,981,619,0,0.613,0.387,0.000
341,1244,356,0,0.777,0.223,0.000
342,1435,165,0,0.897,0.103,0.000
