ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
400,322,78,0,0.805,0.195,0.000
401,312,88,0,0.780,0.220,0.000
402,284,116,0,0.710,0.290,0.000
403,303,97,0,0.757,0.242,0.000
404,328,72,0,0.820,0.180,0.000
405,316,84,0,0.790,0.210,0.000
406,301,99,0,0.752,0.247,0.000
407,297,103,0,0.743,0.258,0.000
408,311,89,0,0.777,0.223,0.000
409,310,90,0,0.775,0.225,0.000
410,319,81,0,0.797,0.203,0.000
411,296,104,0,0.740,0.260,0.000
412,296,104,0,0.740,0.260,0.000
413,324,76,0,0.810,0.190,0.000
414,313,87,0,0.782,0.217,0.000
415,242,158,0,0.605,0.395,0.000
416,305,95,0,0.762,0.237,0.000
417,254,146,0,0.635,0.365,0.000
418,327,73,0,0.818,0.182,0.000
419,333,67,0,0.833,0.168,0.000
420,338,62,0,0.845,0.155,0.000
421,293,107,0,0.733,0.268,0.000
422,329,71,0,0.823,0.177,0.000
423,322,78,0,0.805,0.195,0.000
424,322,78,0,0.805,0.195,0.000
425,338,62,0,0.845,0.155,0.000
426,325,75,0,0.812,0.188,0.000
427,326,74,0,0.815,0.185,0.000
428,312,88,0,0.780,0.220,0.000
429,293,107,0,0.733,0.268,0.000
430,317,83,0,0.792,0.207,0.000
431,305,95,0,0.762,0.237,0.000
432,328,72,0,0.820,0.180,0.000
433,318,82,0,0.795,0.205,0.000
434,322,78,0,0.805,0.195,0.000
435,290,110,0,0.725,0.275,0.000
436,324,76,0,0.810,0.190,0.000
437,303,97,0,0.757,0.242,0.000
438,300,100,0,0.750,0.250,0.000
439,332,68,0,0.830,0.170,0.000
440,327,73,0,0.818,0.182,0.000
441,320,80,0,0.800,0.200,0.000
442,332,68,0,0.830,0.170,0.000
443,338,62,0,0.845,0.155,0.000
444,262,138,0,0.655,0.345,0.000
445,322,78,0,0.805,0.195,0.000
446,326,74,0,0.815,0.185,0.000
447,338,62,0,0.845,0.155,0.000
448,303,97,0,0.757,0.242,0.000
449,266,134,0,0.665,0.335,0.000
450,332,68,0,0.830,0.170,0.000
451,328,72,0,0.820,0.180,0.000
452,328,72,0,0.820,0.180,0.000
453,279,121,0,0.698,0.302,0.000
454,310,90,0,0.775,0.225,0.000
455,320,80,0,0.800,0.200,0.000
456,313,87,0,0.782,0.217,0.000
457,253,147,0,0.632,0.367,0.000
458,299,101,0,0.748,0.253,0.000
459,325,75,0,0.812,0.188,0.000
460,318,82,0,0.795,0.205,0.000
461,305,95,0,0.762,0.237,0.000
462,332,68,0,0.830,0.170,0.000
463,296,104,0,0.740,0.260,0.000
464,325,75,0,0.812,0.188,0.000
465,320,80,0,0.800,0.200,0.000
466,314,86,0,0.785,0.215,0.000
467,309,91,0,0.772,0.228,0.000
468,329,71,0,0.823,0.177,0.000
469,327,73,0,0.818,0.182,0.000
470,284,116,0,0.710,0.290,0.000
471,327,73,0,0.818,0.182,0.000
472,263,137,0,0.657,0.343,0.000
473,263,137,0,0.657,0.343,0.000
474,325,75,0,0.812,0.188,0.000
475,328,72,0,0.820,0.180,0.000
476,322,78,0,0.805,0.195,0.000
477,293,107,0,0.733,0.268,0.000
478,304,96,0,0.760,0.240,0.000
479,318,82,0,0.795,0.205,0.000
480,328,72,0,0.820,0.180,0.000
481,318,82,0,0.795,0.205,0.000
482,317,83,0,0.792,0.207,0.000
483,332,68,0,0.830,0.170,0.000
484,325,75,0,0.812,0.188,0.000
485,304,96,0,0.760,0.240,0.000
486,310,90,0,0.775,0.225,0.000
487,322,78,0,0.805,0.195,0.000
488,338,62,0,0.845,0.155,0.000
489,296,104,0,0.740,0.260,0.000
490,332,68,0,0.830,0.170,0.000
491,322,78,0,0.805,0.195,0.000
492,338,62,0,0.845,0.155,0.000
493,303,97,0,0.757,0.242,0.000
494,322,78,0,0.805,0.195,0.000
495,318,82,0,0.795,0.205,0.000
496,297,103,0,0.743,0.258,0.000
497,322,78,0,0.805,0.195,0.000
498,317,83,0,0.792,0.207,0.000
499,329,71,0,0.823,0.177,0.000
500,254,146,0,0.635,0.365,0.000
